id,title,original_language,popularity,release_date,vote_average,vote_count,tags
599,Sunset Boulevard,en,17.814,1950-08-10,8.4,1982,drama a hack screenwriter writes a screenplay for a former silent film star who has faded into hollywood obscurity.
441130,Wolfwalkers,en,17.052,2020-10-26,8.4,800,"animation,family,adventure,fantasy in a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to ireland with her father to wipe out the last pack. but when she saves a wild native girl, their friendship leads her to discover the world of the wolfwalkers and transform her into the very thing her father is tasked to destroy."
120,The Lord of the Rings: The Fellowship of the Ring,en,168.448,2001-12-18,8.4,21207,"adventure,fantasy,action young hobbit frodo baggins, after inheriting a mysterious ring from his uncle bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: mt. doom, the only place where it can be destroyed."
3782,Ikiru,ja,9.854,1952-10-09,8.4,809,"drama kanji watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. learning he has cancer, he starts to look for the meaning of his life."
704264,Primal: Tales of Savagery,en,62.485,2019-11-21,8.4,227,"action,adventure,animation genndy tartakovsky's primal: tales of savagery features a caveman and a dinosaur on the brink of extinction. bonded by tragedy, this unlikely friendship becomes the only hope of survival."
423,The Pianist,en,40.571,2002-09-17,8.4,7374,"drama,war the true story of pianist władysław szpilman's experiences in warsaw during the nazi occupation. when the jews of the city find themselves forced into a ghetto, szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city."
157336,Interstellar,en,191.22,2014-11-05,8.4,28920,"adventure,drama,science fiction the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage."
244786,Whiplash,en,57.858,2014-10-10,8.4,12371,"drama,music under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity."
121,The Lord of the Rings: The Two Towers,en,162.716,2002-12-18,8.4,18370,"adventure,fantasy,action frodo and sam are trekking to mordor to destroy the one ring of power while gimli, legolas and aragorn search for the orc-captured merry and pippin. all along, nefarious wizard saruman awaits the fellowship members at the orthanc tower in isengard."
73,American History X,en,32.756,1998-07-01,8.4,9700,"drama derek vineyard is paroled after serving 3 years in prison for killing two african-american men. through his brother, danny vineyard's narration, we learn that before going to prison, derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout l.a. and his actions greatly influenced danny. reformed and fresh out of prison, derek severs contact with the gang and becomes determined to keep danny from going down the same violent path as he did."
567,Rear Window,en,19.511,1954-08-01,8.4,5230,"thriller,mystery a wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder."
27205,Inception,en,111.757,2010-07-15,8.4,31917,"action,science fiction,adventure cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious."
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,ja,802.132,2020-10-16,8.4,2564,"animation,action,adventure,fantasy tanjirō kamado, joined with inosuke hashibira, a boy raised by boars who wears a boar's head, and zenitsu agatsuma, a scared boy who reveals his true power when he sleeps, boards the infinity train on a new mission with the fire hashira, kyōjurō rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!"
632632,Given,ja,92.227,2020-08-22,8.4,324,"animation,drama,music,romance the relationship between a band's bassist, their drummer, and the drummer’s roommate and ex-boyfriend, who is a professional violinist."
901,City Lights,en,13.321,1931-02-01,8.4,1661,"comedy,drama,romance in this sound-era silent film, a tramp falls in love with a beautiful blind flower seller."
12493,High and Low,ja,10.462,1963-03-01,8.4,601,"crime,drama,mystery,thriller an executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom."
914,The Great Dictator,en,17.663,1940-10-15,8.4,2659,"comedy,war dictator adenoid hynkel tries to expand his empire while a poor jewish barber tries to avoid persecution from hynkel's regime."
807,Se7en,en,47.045,1995-09-22,8.4,17351,"crime,mystery,thriller two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. the seasoned det. sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, mills, scoffs at his efforts to unravel the case."
361743,Top Gun: Maverick,en,7567.017,2022-05-24,8.4,1690,"action,drama after more than thirty years of service as one of the navy’s top aviators, and dodging the advancement in rank that would ground him, pete “maverick” mitchell finds himself training a detachment of top gun graduates for a specialized mission the likes of which no living pilot has ever seen."
128,Princess Mononoke,ja,42.985,1997-07-12,8.3,6405,"adventure,fantasy,animation ashitaka, a prince of the disappearing emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. along the way, he encounters san, a young human woman fighting to protect the forest, and lady eboshi, who is trying to destroy it. ashitaka must find a way to bring balance to this conflict."
644479,Dedicated to my ex,es,12.695,2019-11-01,8.3,473,"drama,comedy the film tells the story of ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to finland for an internship. ariel with her friend ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities."
274,The Silence of the Lambs,en,11.372,1991-02-01,8.3,13478,"crime,drama,thriller clarice starling is a top student at the fbi's training academy. jack crawford wants clarice to interview dr. hannibal lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism. crawford believes that lecter may have insight into a case and that starling, as an attractive young woman, may be just the bait to draw him out."
25237,Come and See,ru,12.869,1985-07-09,8.3,961,"drama,history,war the invasion of a village in byelorussia by german forces sends young florya into the forest to join the weary resistance fighters, against his family's wishes. there he meets a girl, glasha, who accompanies him back to his village. on returning home, florya finds his family and fellow peasants massacred. his continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope."
630566,Clouds,en,21.826,2020-10-09,8.3,855,"music,drama,romance young musician zach sobiech discovers his cancer has spread, leaving him just a few months to live. with limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon."
207,Dead Poets Society,en,32.638,1989-06-02,8.3,9250,"drama at an elite, old-fashioned boarding school in new england, a passionate english teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster."
3082,Modern Times,en,15.754,1936-02-05,8.3,2993,"comedy,drama the tramp struggles to live in modern industrial society with the help of a young homeless woman."
527641,Five Feet Apart,en,98.531,2019-03-14,8.3,4819,"romance,drama seventeen-year-old stella spends most of her time in the hospital as a cystic fibrosis patient. her life is full of routines, boundaries and self-control — all of which get put to the test when she meets will, an impossibly charming teen who has the same illness. there's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. as their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction."
101,Léon: The Professional,en,55.424,1994-09-14,8.3,12278,"crime,drama,action léon, the top hit man in new york, has earned a rep as an effective ""cleaner"". but when his next-door neighbors are wiped out by a loose-cannon dea agent, he becomes the unwilling custodian of 12-year-old mathilda. before long, mathilda's thoughts turn to revenge, and she considers following in léon's footsteps."
335,Once Upon a Time in the West,it,21.526,1968-12-21,8.3,3443,"drama,western as the railroad builders advance unstoppably through the arizona desert on their way to the sea, jill arrives in the small town of flagstone with the intention of starting a new life."
556574,Hamilton,en,11.644,2020-07-03,8.3,982,"history,drama presenting the tale of american founding father alexander hamilton, this filmed version of the original broadway smash hit is the story of america then, told by america now."
975,Paths of Glory,en,11.774,1957-10-25,8.3,2226,"drama,war a commanding officer defends three scapegoats on trial for a failed offensive that occurred within the french army in 1916."
618344,Justice League Dark: Apokolips War,en,41.778,2020-05-05,8.3,1189,"animation,action,adventure,fantasy,science fiction earth is decimated after intergalactic tyrant darkseid has devastated the justice league in a poorly executed war by the dc super heroes. now the remaining bastions of good – the justice league, teen titans, suicide squad and assorted others – must regroup, strategize and take the war to darkseid in order to save the planet and its surviving inhabitants."
105,Back to the Future,en,54.325,1985-07-03,8.3,16765,"adventure,comedy,science fiction,family eighties teenager marty mcfly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend doc brown - return to 1985."
592350,My Hero Academia: Heroes Rising,ja,224.617,2019-12-20,8.3,942,"animation,action,fantasy,adventure class 1-a visits nabu island where they finally get to do some real hero work. the place is so peaceful that it's more like a vacation … until they're attacked by a villain with an unfathomable quirk! his power is eerily familiar, and it looks like shigaraki had a hand in the plan. but with all might retired and citizens' lives on the line, there's no time for questions. deku and his friends are the next generation of heroes, and they're the island's only hope."
447362,Life in a Year,en,114.889,2020-11-27,8.3,1105,"drama,romance a 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left."
575813,Better Days,zh,17.871,2019-10-25,8.3,251,"drama a bullied teenage girl forms an unlikely friendship with a mysterious young man who protects her from her assailants, while she copes with the pressures of her final examinations."
16672,Woman in the Dunes,ja,8.046,1964-02-15,8.3,292,"drama,thriller an entomologist suffers extreme psychological and sexual torture after being taken captive by the residents of a poor seaside village."
42269,We All Loved Each Other So Much,it,6.594,1974-12-21,8.3,424,"drama,comedy three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond."
18148,Tokyo Story,ja,10.385,1953-11-03,8.3,769,"drama the elderly shukishi and his wife, tomi, take the long journey from their small seaside village to visit their adult children in tokyo. their elder son, koichi, a doctor, and their daughter, shige, a hairdresser, don't have much time to spend with their aged parents, and so it falls to noriko, the widow of their younger son who was killed in the war, to keep her in-laws company."
10494,Perfect Blue,ja,27.325,1997-07-25,8.3,1736,"animation,thriller a retired pop singer turned actress' sense of reality is shaken when she is stalked by an obsessed fan and seemingly a ghost of her past."
10376,The Legend of 1900,it,12.788,1998-10-28,8.3,1866,"drama,music,romance the story of a virtuoso piano player who lives his entire life aboard an ocean liner. born and raised on the ship, 1900 (tim roth) learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship."
28,Apocalypse Now,en,27.775,1979-08-15,8.3,6618,"drama,war at the height of the vietnam war, captain benjamin willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" his goal is to locate - and eliminate - a mysterious green beret colonel named walter kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory."
